EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=300,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
77,160.165,160.2,160.16,160.2,70944
78,160.35,160.35,160.15,160.18,156456
289,160.67,160.84,160,160.19,101260
290,160.95,160.97,160.64,160.64,48433
291,160.98,161.02,160.9,160.94,42968
292,160.86,160.99,160.84,160.99,30138
293,160.74,160.89,160.64,160.8784,31257
294,160.77,160.77,160.69,160.74,25102
295,160.85,160.94,160.77,160.79,21257
296,160.74,160.84,160.63,160.84,25640
297,160.84,160.92,160.73,160.76,36577
298,161,161.0279,160.79,160.83,29856
299,161.15,161.24,160.9754,160.99,39866
300,161.25,161.29,161.12,161.16,21702
301,161.2365,161.32,161.2,161.25,36631
302,161.23,161.26,161.21,161.235,21975
303,161.16,161.26,161.15,161.24,37626
304,161.02,161.21,161.01,161.169,62109
305,160.94,161.045,160.9055,161.02,12990
306,160.87,160.99,160.87,160.94,9427
307,160.86,160.91,160.79,160.84,17907
308,161.01,161.05,160.86,160.86,20192
309,160.92,161.09,160.88,161.0105,21739
310,160.82,160.93,160.8,160.93,25610
311,160.92,160.93,160.8,160.82,28055
312,161.0268,161.06,160.9,160.93,22080
313,161.08,161.09,160.98,161.03,32800
314,161.16,161.17,161.06,161.09,26875
315,161.2,161.21,161.08,161.17,35651
316,161.205,161.25,161.06,161.195,36506
317,161.27,161.29,161.2,161.2065,20094
318,161.41,161.41,161.242,161.28,25077
319,161.41,161.43,161.37,161.42,27012
320,161.42,161.45,161.37,161.41,20457
321,161.44,161.44,161.39,161.42,17498
322,161.45,161.5,161.42,161.43,22081
323,161.43,161.48,161.39,161.45,18396
324,161.38,161.433,161.281,161.433,27800
325,161.26,161.4,161.23,161.4,15625
326,161.39,161.39,161.21,161.26,21179
327,161.58,161.59,161.37,161.4,33303
328,161.56,161.66,161.56,161.59,21628
329,161.52,161.61,161.44,161.55,40587
330,161.49,161.55,161.45,161.494,14465
331,161.46,161.49,161.28,161.48,26807
332,161.51,161.57,161.47,161.47,13340
333,161.5566,161.57,161.45,161.53,11372
334,161.69,161.69,161.51,161.55,11181
335,161.7,161.72,161.6561,161.68,13424
336,161.6399,161.71,161.56,161.71,13263
337,161.67,161.69,161.61,161.62,10858
