date,^GSPC,^GSPTSE,^FTSE,^GDAXI,^FCHI,^N225,^HSI,^IRX
2000-05-03,1415.099976,9291.299805,6184.799805,7376.930176,6435.649902,nan,15577.469727,5.74
2000-05-04,1409.569946,9414.099609,6199.600098,7386.709961,6491.740234,nan,15314.070312,5.72
2000-05-05,1432.630005,9597.299805,6238.799805,7530.819824,6545.759766,nan,15268.639648,5.79
2000-05-08,1424.170044,9337.50,6216.299805,7408.089844,6514.419922,18199.960938,14901.00,5.89
2000-05-09,1412.140015,9294.400391,6123.799805,7280.540039,6369.609863,17844.539062,14776.900391,5.96
2000-05-10,1383.050049,9097.099609,6100.700195,7120.859863,6263.339844,17701.470703,14492.919922,5.93
2000-05-11,1407.810059,9132.599609,6245.899902,7259.47998,6380.129883,16882.460938,nan,5.91
2000-05-12,1420.959961,9211.799805,6283.50,7269.279785,6449.27002,17357.859375,15111.94043,5.96
2000-05-15,1452.359985,9281.900391,6247.700195,7195.149902,6392.27002,17313.689453,14881.299805,5.93
2000-05-16,1466.040039,9582.00,6318.399902,7371.060059,6557.390137,17551.25,15160.290039,6.01
2000-05-17,1447.800049,9552.799805,6196.200195,7211.509766,6453.049805,17404.029297,14827.80957,5.91
2000-05-18,1437.209961,9549.900391,6233.00,7181.580078,6451.970215,17031.630859,14322.599609,5.73
2000-05-19,1406.949951,9293.099609,6045.399902,6989.029785,6196.049805,16858.169922,14478.259766,5.70
2000-05-22,1400.719971,9293.099609,6035.50,6912.959961,6094.169922,16386.009766,14140.730469,5.70
2000-05-23,1373.859985,8986.599609,6086.799805,6927.689941,6148.560059,16318.730469,14257.179688,5.78
2000-05-24,1399.050049,9144.200195,6118.600098,6834.879883,6027.100098,16044.44043,13933.980469,5.74
2000-05-25,1381.52002,9043.700195,6231.100098,6978.870117,6129.660156,16247.820312,13921.05957,5.66
2000-05-26,1378.02002,9020.900391,6216.899902,6839.330078,6129.149902,16008.139648,13722.700195,5.65
2000-05-29,nan,9060.099609,6216.899902,7016.660156,6205.129883,16245.44043,13975.070312,nan
2000-05-30,1422.449951,9344.099609,6359.600098,7119.259766,6325.490234,16228.900391,13990.900391,5.60
2000-05-31,1420.599976,9252.00,6359.399902,7109.669922,6426.259766,16332.450195,14713.860352,5.49
2000-06-01,1448.810059,9552.200195,6470.50,7272.759766,6599.709961,16694.300781,14941.19043,5.56
2000-06-02,1477.26001,9747.700195,6626.399902,7438.950195,6673.52002,16800.060547,15284.099609,5.70
2000-06-05,1467.630005,9679.700195,6546.700195,7408.02002,6656.259766,17201.789062,15861.679688,5.71
2000-06-06,1457.839966,9609.900391,6546.799805,7359.799805,6589.77002,17170.080078,nan,5.82
2000-06-07,1471.359985,9557.700195,6503.799805,7285.930176,6498.50,17144.960938,15900.05957,5.75
2000-06-08,1461.670044,9652.400391,6496.600098,7253.459961,6523.660156,17004.339844,15876.929688,5.75
2000-06-09,1456.949951,9728.799805,6443.799805,7246.790039,6549.049805,16861.910156,16120.259766,5.75
2000-06-12,1446.00,9819.599609,6430.899902,7240.100098,nan,16980.609375,16055.049805,5.67
2000-06-13,1469.439941,9836.50,6447.100098,7268.910156,6532.839844,16914.949219,15692.94043,5.72
2000-06-14,1470.540039,9972.099609,6536.299805,7350.939941,6608.100098,16654.419922,15857.070312,5.66
2000-06-15,1478.72998,10110.599609,6490.799805,7328.620117,6512.97998,16338.700195,16080.339844,5.65
2000-06-16,1464.459961,10035.700195,6526.00,7252.580078,6456.259766,16318.30957,16434.380859,5.64
2000-06-19,1486.00,10136.799805,6490.200195,7198.799805,6505.160156,16591.349609,16267.469727,5.64
2000-06-20,1475.949951,10239.900391,6526.899902,7227.27002,6554.919922,16907.550781,16086.740234,5.62
2000-06-21,1479.130005,10197.299805,6477.799805,7100.089844,6490.759766,17210.080078,16238.139648,5.64
2000-06-22,1452.180054,10064.50,6413.799805,7064.72998,6474.879883,17106.009766,15952.360352,5.66
2000-06-23,1441.47998,10091.099609,6391.50,6980.410156,6545.350098,16963.210938,15738.080078,5.69
2000-06-26,1455.310059,10227.400391,6405.200195,7027.189941,6586.259766,16925.400391,15978.910156,5.65
2000-06-27,1450.550049,10165.50,6375.299805,7048.959961,6568.089844,17279.060547,16155.769531,5.65
2000-06-28,1454.819946,10231.299805,6313.50,7054.299805,6607.959961,17370.169922,16438.419922,5.64
2000-06-29,1442.390015,10111.00,6239.00,6881.939941,6400.819824,17475.900391,16286.799805,5.67
2000-06-30,1454.599976,10195.50,6312.700195,6882.439941,6446.540039,17411.050781,16155.780273,5.70
2000-07-03,1469.540039,10195.50,6470.399902,6962.02002,6508.470215,17614.660156,16124.969727,5.87
2000-07-04,nan,10301.400391,6417.00,6944.359863,6494.77002,17470.150391,16235.759766,nan
2000-07-05,1446.22998,10323.799805,6382.50,6961.72998,6462.700195,17435.949219,16474.269531,5.81
2000-07-06,1456.670044,10242.599609,6419.600098,6972.799805,6453.970215,17282.369141,16489.589844,5.84
2000-07-07,1478.900024,10380.299805,6497.50,7044.77002,6565.970215,17398.240234,16829.960938,5.85
2000-07-10,1475.619995,10235.400391,6466.200195,7066.220215,6487.419922,17572.679688,17238.669922,5.88
2000-07-11,1480.880005,10350.299805,6475.799805,7006.049805,6490.350098,17504.359375,17359.660156,5.92
2000-07-12,1492.920044,10572.900391,6518.50,7065.970215,6536.509766,17342.130859,17552.259766,5.99
2000-07-13,1495.839966,10679.299805,6475.700195,7166.509766,6570.359863,17036.900391,17449.50,5.98
2000-07-14,1509.97998,10778.799805,6475.399902,7321.939941,nan,17142.900391,17586.160156,5.97
2000-07-17,1510.48999,10844.50,6525.50,7430.700195,6619.25,17286.830078,17834.779297,5.96
2000-07-18,1493.73999,10735.50,6450.50,7406.910156,6514.540039,16945.070312,17440.830078,5.97
